,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,longyearbyen,20,NO,1578359828,51,78.22,15.63,12.2,14.99
88,hermanus,98,ZA,1578359828,79,-34.42,19.24,64.99,8.01
89,saint-philippe,40,CA,1578359828,85,45.36,-73.48,26.01,3.36
90,makakilo city,90,US,1578359828,65,21.35,-158.09,82.4,12.75
91,ulaanbaatar,40,MN,1578359828,75,47.92,106.92,-14.8,2.24
92,comodoro rivadavia,89,BR,1578359828,92,-13.66,-59.79,73.17,5.01
93,fuling,88,CN,1578359828,96,29.71,107.39,40.71,2.39
94,grand gaube,90,FR,1578359828,100,48.39,5.49,41.0,2.24
95,doka,29,SD,1578359828,36,13.52,35.76,67.84,11.25
96,vila velha,2,IT,1578359829,100,45.18,8.4,36.0,3.36
97,kawana waters,75,AU,1578359829,88,-23.33,150.51,75.2,11.41
98,kodiak,75,US,1578359829,59,39.95,-94.76,37.99,4.7
99,wuda,100,CN,1578359829,67,39.5,106.72,18.72,1.05
100,severo-kurilsk,100,RU,1578359577,74,50.68,156.12,24.57,16.67
101,ngunguru,96,NZ,1578359829,49,-35.62,174.5,71.01,11.01
102,amarpur,90,IN,1578359829,100,23.52,91.65,53.6,3.49
103,provideniya,81,RU,1578359829,92,64.42,-173.23,-10.93,1.54
104,kamenka,0,MD,1578359830,86,48.03,28.7,21.99,3.4
105,tanout,33,NE,1578359830,20,14.97,8.88,60.71,12.19
106,yumen,18,CN,1578359830,69,40.29,97.04,15.51,10.89
107,tabou,0,CI,1578359830,72,4.42,-7.36,71.46,2.82
108,hobart,75,AU,1578359830,63,-42.88,147.33,70.0,13.87
109,yenagoa,100,NG,1578359830,67,4.92,6.26,76.8,2.57
110,mayo,20,CA,1578359830,72,63.59,-135.9,-38.2,2.08
111,yar-sale,25,RU,1578359831,84,66.83,70.83,6.73,15.52
112,kompaniyivka,100,UA,1578359831,73,48.25,32.21,30.24,11.5
113,baishishan,100,CN,1578359831,96,43.58,127.55,19.8,0.76
114,virginia beach,40,US,1578359832,69,39.95,-90.21,37.99,4.7
115,barrow,32,AR,1578359832,62,-38.31,-60.23,59.86,7.99
116,brownwood,1,US,1578359832,49,31.71,-98.99,55.4,8.05
117,palmer,0,AU,1578359832,53,-34.85,139.16,82.99,12.75
118,collie,0,AU,1578359832,32,-33.36,116.15,78.01,3.0
119,georgetown,40,GY,1578359809,83,6.8,-58.16,78.8,4.7
120,tuatapere,99,NZ,1578359833,68,-46.13,167.69,57.0,10.0
121,carnarvon,83,ZA,1578359833,72,-30.97,22.13,63.81,10.2
122,fortuna,1,US,1578359833,76,40.6,-124.16,53.6,5.82
123,sao joao da barra,46,IN,1578359827,57,20.51,76.21,65.08,7.61
124,ulladulla,40,AU,1578359833,57,-35.36,150.48,82.0,5.82
125,basco,90,US,1578359834,69,40.33,-91.2,37.99,6.04
126,havoysund,100,NO,1578359834,64,71.0,24.66,37.4,23.04
127,calabozo,6,VE,1578359834,47,8.92,-67.43,83.01,7.09
128,bertoua,65,CM,1578359834,44,4.58,13.68,66.83,3.31
129,maceio,20,BR,1578359834,83,-9.67,-35.74,77.0,4.7
130,port elizabeth,95,CD,1578359834,61,-7.04,29.76,77.45,2.19
131,khomeyn,0,IR,1578359834,65,33.64,50.08,24.53,2.01
132,vostok,98,RU,1578359835,80,46.45,135.83,10.6,2.51
133,mangaluru,74,IN,1578359835,83,12.87,74.84,77.0,3.36
134,mys shmidta,100,RU,1578359835,93,62.06,48.62,9.18,8.14
135,yuryuzan,90,RU,1578359835,95,54.87,58.43,11.89,1.39
136,ribeira grande,39,PT,1578359835,93,41.76,-8.56,46.99,3.36
137,rock sound,17,GB,1578359835,93,52.34,-2.39,44.01,9.17
138,ambovombe,3,MG,1578359835,87,-25.18,46.09,71.33,5.28
139,dudinka,96,RU,1578359835,85,69.41,86.18,12.2,17.9
140,touros,40,BR,1578359835,78,-5.2,-35.46,80.6,6.93
141,aswan,0,EG,1578359836,45,24.09,32.9,46.4,9.17
142,port alberni,95,CD,1578359823,61,-7.04,29.76,77.45,2.19
143,cape town,0,CL,1578359836,55,-36.41,-71.9,64.4,6.93
144,riyadh,0,SA,1578359597,87,24.63,46.72,44.6,5.75
145,isangel,75,VU,1578359836,70,-19.55,169.27,84.2,9.17
146,meiktila,0,MM,1578359836,89,20.88,95.86,57.7,6.08
147,arraial do cabo,0,BR,1578359836,73,-22.84,-46.65,78.01,4.7
148,necochea,0,AR,1578359836,80,-38.55,-58.74,60.01,7.0
149,lebu,75,ET,1578359836,87,8.96,38.73,53.6,2.24
150,narsaq,0,GL,1578359837,36,60.91,-46.05,-2.2,5.82
151,lima,20,PE,1578359837,83,-12.06,-77.04,71.6,13.87
152,rio gallegos,40,US,1578359769,79,41.11,-90.4,35.01,5.3
